,start,end,content,wordcount
212,704.245,707.122,"['Miss', 'Stoeger', 'seemed', 'to', 'be', 'same-sex', 'oriented', '.']",8
213,708.124,711.251,"['Of', 'course', ',', 'there', 'was', 'always', 'Miss', 'Geist', '.']",9
214,711.586,714.505,"['Something', 'told', 'me', 'not', 'to', 'discount', 'Miss', 'Geist', '.']",9
215,717.3,721.72,"['Sure', ',', 'she', 'has', 'runs', 'in', 'her', 'stockings', 'and', 'her', 'slip', 'is', 'always', 'showing']",14
216,721.805,724.39,"['and', 'she', 'has', 'more', 'lipstick', 'on', 'her', 'teeth', 'than', 'on', 'her', 'mouth', '.']",13
217,724.474,727.601,"['Popular', 'uprisings', 'from', 'Estates', 'to', 'the', 'general', 'assembly', '.']",9
218,727.685,730.729,"['God', ',', 'this', 'woman', 'is', 'screaming', 'for', 'a', 'makeover', '.']",10
219,730.814,732.272,"[""I'm"", 'her', 'only', 'hope', '.']",5
220,734.734,737.82,"['""', 'Rough', 'winds', 'do', 'shake', 'the', 'darling', 'buds', 'of', 'May']",10
221,738.071,740.572,"['""', 'But', 'thy', 'eternal', 'summer', 'shall', 'not', 'fade', '""']",9
222,740.657,742.324,"['Phat', '!', 'Did', 'you', 'write', 'that', '?']",7
223,742.534,745.202,"['-Duh', '!', 'lt', ""'s"", 'like', 'a', 'famous', 'quote', '.', '-From', 'where', '?']",12
224,745.412,746.787,"['Cliffs', 'Notes', '.']",3
225,746.913,749.706,"['l', 'know', ""you're"", 'going', 'to', 'be', 'doing', 'better', ',', 'Travis', '.']",11
226,750.333,752.751,"['No', ',', 'if', 'you', 'run', 'along', ',', ""l'll"", 'see', 'you', 'third', 'period', '.']",13
227,752.836,756.004,"['And', ""we'll"", 'try', 'to', 'remember', 'to', 'bring', 'our', 'textbooks', '.']",10
228,756.631,757.714,"['Okay', '.']",2
229,780.405,782.865,"['My', 'God', ',', 'she', 'actually', 'looked', 'happy', '!']",8
230,782.949,784.199,"['Classic', '.']",2
231,784.534,787.453,"['-Paroudasm', 'Banafshein', '.', '-Here', '.']",5
232,787.704,789.663,"['Sixteen', 'tardies', 'to', 'work', 'off', '.']",6
233,793.46,795.461,"['Janet', 'Hong', ',', 'no', 'tardies', '.']",6
234,796.671,801.133,"['Travis', 'Birkenstock', ',', '38', 'tardies', '.', 'By', 'far', 'the', 'most', 'tardies', 'in', 'the', 'class', '.']",15
235,801.217,802.926,"['Congratulations', '.']",2
236,807.474,811.226,"['This', 'is', 'so', 'unexpected', ',', 'l', ""didn't"", 'even', 'have', 'a', 'speech', 'prepared', '.']",13
237,811.561,812.978,"['But', 'l', 'would', 'like', 'to', 'say', 'this', ':']",8
238,813.062,816.023,"['Tardiness', 'is', 'not', 'something', 'you', 'can', 'do', 'all', 'on', 'your', 'own', '.']",12
239,816.107,818.817,"['Many', 'people', 'contributed', 'to', 'my', 'tardiness', '.']",7
240,818.902,821.945,"[""l'd"", 'like', 'to', 'thank', 'my', 'parents', 'for', 'never', 'giving', 'me', 'a', 'ride', 'to', 'school', '.']",15
241,822.03,825.657,"['The', 'LA', 'City', 'bus', 'drivers', 'for', 'taking', 'a', 'chance', 'on', 'an', 'unknown', 'kid', '.']",14
242,825.742,828.827,"['And', 'last', ',', 'but', 'not', 'least', ',', 'the', 'wonderful', 'crew', 'at', 'McDonald', ""'s""]",13
